Cod Vendas;Data;ID Loja;Produto;Quantidade;Valor Unitário;Valor Final
1;2025-01-31;Loja 10;Chinelo;1;38,69;38,69
2;2025-11-10;Loja 01;Camiseta Básica;5;79,43;397,15
3;2024-03-19;Loja 05;Sapatilha Casual;2;118,09;236,18
4;2024-05-02;Loja 01;Tênis Corrida;3;219,37;658,11
5;2023-12-06;Loja 02;Shorts Sarja;2;81,02;162,04
6;2024-07-27;Loja 19;Calça Moletom;3;155,25;465,75
7;2024-07-29;Loja 07;Calça Moletom;2;170,49;340,98
8;2025-03-28;Loja 08;Shorts Sarja;4;73,97;295,88
9;2025-08-27;Loja 15;Camisa Polo;1;108,72;108,72
10;2023-07-23;Loja 20;Bota Couro;3;154,93;464,79
11;2024-01-01;Loja 10;Calça Jeans;3;71,82;215,46
12;2023-04-06;Loja 18;Tênis Esportivo;4;243,78;975,12
13;2024-04-11;Loja 13;Calça Jeans;5;77,28;386,4
14;2025-06-24;Loja 01;Shorts Sarja;1;42,28;42,28
15;2025-01-04;Loja 06;Camiseta Básica;5;58,57;292,85
16;2024-08-06;Loja 18;Shorts Sarja;1;39,71;39,71
17;2024-09-28;Loja 20;Camisa Polo;2;130,87;261,74
18;2024-04-04;Loja 13;Chinelo;3;44,63;133,89
19;2025-01-11;Loja 03;Sapato Social;1;229,43;229,43
20;2023-11-14;Loja 05;Camisa Polo;4;106,78;427,12
21;2023-06-30;Loja 16;Calça Moletom;5;116,41;582,05
22;2025-05-19;Loja 05;Sapatilha Casual;4;97,1;388,4
23;2023-06-15;Loja 19;Bota Couro;3;180,31;540,93
24;2023-10-14;Loja 06;Bota Couro;1;134,49;134,49
25;2024-12-18;Loja 05;Shorts Sarja;4;31,28;125,12
26;2024-11-16;Loja 16;Chinelo;5;10,51;52,55
27;2024-08-11;Loja 17;Camisa Polo;1;44,25;44,25
28;2025-03-11;Loja 04;Camiseta Básica;4;112,31;449,24
29;2023-10-16;Loja 20;Tênis Esportivo;2;67,65;135,3
30;2022-12-13;Loja 09;Tênis Corrida;3;92,03;276,09
31;2025-07-14;Loja 03;Calça Jeans;4;136,65;546,6
32;2024-06-27;Loja 02;Bota Couro;4;182,8;731,2
33;2023-08-24;Loja 19;Tênis Corrida;5;175,08;875,4
34;2025-02-23;Loja 09;Camisa Polo;1;56,24;56,24
35;2024-08-06;Loja 14;Camisa Polo;1;59,94;59,94
36;2025-10-24;Loja 10;Calça Jeans;2;159,4;318,8
37;2023-10-05;Loja 06;Calça Jeans;4;165,36;661,44
38;2023-07-07;Loja 07;Tênis Esportivo;5;113,01;565,05
39;2024-10-10;Loja 02;Calça Moletom;4;170,97;683,88
